Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,10.4
1,2022-01-04,14,2022-01-13,10.52
2,2022-01-13,14,2022-01-24,11.19
3,2022-01-24,14,2022-02-02,10.72
4,2022-02-02,14,2022-02-11,10.82
5,2022-02-11,14,2022-02-23,11.07
6,2022-02-23,14,2022-03-04,10.74
7,2022-03-04,14,2022-03-15,11.51
8,2022-03-15,14,2022-03-24,10.59
9,2022-03-24,14,2022-04-04,10.79
10,2022-04-04,14,2022-04-19,10.77
11,2022-04-19,14,2022-04-28,11.09
12,2022-04-28,14,2022-05-11,11.79
13,2022-05-11,14,2022-05-23,11.68
14,2022-05-23,14,2022-06-01,11.53
15,2022-06-01,14,2022-06-13,12.3
16,2022-06-13,14,2022-06-22,12.43
17,2022-06-22,14,2022-07-01,12.49
18,2022-07-01,14,2022-07-12,12.38
19,2022-07-12,14,2022-07-22,12.5
20,2022-07-22,14,2022-08-04,12.59
21,2022-08-04,14,2022-08-16,12.45
22,2022-08-16,14,2022-08-25,12.52
23,2022-08-25,14,2022-09-05,13.57
24,2022-09-05,14,2022-09-14,13.65
25,2022-09-14,14,2022-09-23,13.87
26,2022-09-23,14,2022-10-04,13.04
27,2022-10-04,14,2022-10-17,12.77
28,2022-10-17,14,2022-10-27,12.83
29,2022-10-27,14,2022-11-07,12.51
30,2022-11-07,14,2022-11-16,12.58
31,2022-11-16,14,2022-11-25,12.61
32,2022-11-25,14,2022-12-07,12.75
33,2022-12-07,14,2022-12-19,12.75
34,2022-12-19,14,2022-12-28,13.2
