Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,60.32
1,2022-01-04,15,2022-01-13,64.1
2,2022-01-13,15,2022-01-24,61.69
3,2022-01-24,15,2022-02-02,64.72
4,2022-02-02,15,2022-02-11,62.86
5,2022-02-11,15,2022-02-23,63.28
6,2022-02-23,15,2022-03-04,69.24
7,2022-03-04,15,2022-03-15,67.44
8,2022-03-15,15,2022-03-24,65.96
9,2022-03-24,15,2022-04-04,64.01
10,2022-04-04,15,2022-04-19,66.51
11,2022-04-19,15,2022-04-28,66.63
12,2022-04-28,15,2022-05-11,64.48
13,2022-05-11,15,2022-05-23,66.23
14,2022-05-23,15,2022-06-01,64.8
15,2022-06-01,15,2022-06-13,68.42
16,2022-06-13,15,2022-06-22,63.42
17,2022-06-22,15,2022-07-01,61.26
18,2022-07-01,15,2022-07-12,61.64
19,2022-07-12,15,2022-07-22,61.77
20,2022-07-22,15,2022-08-04,62.58
21,2022-08-04,15,2022-08-16,60.79
22,2022-08-16,15,2022-08-25,59.86
23,2022-08-25,15,2022-09-05,61.05
24,2022-09-05,15,2022-09-14,60.27
25,2022-09-14,15,2022-09-23,61.29
26,2022-09-23,15,2022-10-04,59.0
27,2022-10-04,15,2022-10-17,60.5
28,2022-10-17,15,2022-10-27,58.72
29,2022-10-27,15,2022-11-07,62.32
30,2022-11-07,15,2022-11-16,61.92
31,2022-11-16,15,2022-11-25,61.33
32,2022-11-25,15,2022-12-07,62.81
33,2022-12-07,15,2022-12-19,63.1
34,2022-12-19,15,2022-12-28,65.61
