Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,204.26
1,2022-01-04,18,2022-01-13,220.05
2,2022-01-13,18,2022-01-24,217.94
3,2022-01-24,18,2022-02-02,235.24
4,2022-02-02,18,2022-02-11,220.47
5,2022-02-11,18,2022-02-23,237.87
6,2022-02-23,18,2022-03-04,240.88
7,2022-03-04,18,2022-03-15,237.75
8,2022-03-15,18,2022-03-24,225.45
9,2022-03-24,18,2022-04-04,230.82
10,2022-04-04,18,2022-04-19,225.62
11,2022-04-19,18,2022-04-28,216.3
12,2022-04-28,18,2022-05-11,214.75
13,2022-05-11,18,2022-05-23,219.33
14,2022-05-23,18,2022-06-01,214.72
15,2022-06-01,18,2022-06-13,221.17
16,2022-06-13,18,2022-06-22,205.3
17,2022-06-22,18,2022-07-01,200.08
18,2022-07-01,18,2022-07-12,199.15
19,2022-07-12,18,2022-07-22,192.63
20,2022-07-22,18,2022-08-04,188.46
21,2022-08-04,18,2022-08-16,192.08
22,2022-08-16,18,2022-08-25,192.8
23,2022-08-25,18,2022-09-05,185.24
24,2022-09-05,18,2022-09-14,190.86
25,2022-09-14,18,2022-09-23,192.66
26,2022-09-23,18,2022-10-04,194.15
27,2022-10-04,18,2022-10-17,190.89
28,2022-10-17,18,2022-10-27,178.67
29,2022-10-27,18,2022-11-07,185.41
30,2022-11-07,18,2022-11-16,184.18
31,2022-11-16,18,2022-11-25,177.86
32,2022-11-25,18,2022-12-07,185.42
33,2022-12-07,18,2022-12-19,182.3
34,2022-12-19,18,2022-12-28,188.48
