Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,58.2
1,2022-01-04,7,2022-01-13,60.61
2,2022-01-13,7,2022-01-24,58.93
3,2022-01-24,7,2022-02-02,57.21
4,2022-02-02,7,2022-02-11,58.76
5,2022-02-11,7,2022-02-23,57.42
6,2022-02-23,7,2022-03-04,51.03
7,2022-03-04,7,2022-03-15,52.58
8,2022-03-15,7,2022-03-24,51.58
9,2022-03-24,7,2022-04-04,52.46
10,2022-04-04,7,2022-04-19,48.21
11,2022-04-19,7,2022-04-28,50.88
12,2022-04-28,7,2022-05-11,43.65
13,2022-05-11,7,2022-05-23,44.79
14,2022-05-23,7,2022-06-01,46.52
15,2022-06-01,7,2022-06-13,48.27
16,2022-06-13,7,2022-06-22,47.44
17,2022-06-22,7,2022-07-01,47.37
18,2022-07-01,7,2022-07-12,45.24
19,2022-07-12,7,2022-07-22,45.77
20,2022-07-22,7,2022-08-04,41.93
21,2022-08-04,7,2022-08-16,44.03
22,2022-08-16,7,2022-08-25,45.76
23,2022-08-25,7,2022-09-05,47.72
24,2022-09-05,7,2022-09-14,47.19
25,2022-09-14,7,2022-09-23,44.94
26,2022-09-23,7,2022-10-04,46.73
27,2022-10-04,7,2022-10-17,45.76
28,2022-10-17,7,2022-10-27,43.7
29,2022-10-27,7,2022-11-07,41.52
30,2022-11-07,7,2022-11-16,44.88
31,2022-11-16,7,2022-11-25,45.63
32,2022-11-25,7,2022-12-07,45.66
33,2022-12-07,7,2022-12-19,46.38
34,2022-12-19,7,2022-12-28,46.25
