Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,3,2022-01-04,19.29
1,2022-01-04,3,2022-01-13,19.83
2,2022-01-13,3,2022-01-24,20.39
3,2022-01-24,3,2022-02-02,19.98
4,2022-02-02,3,2022-02-11,20.66
5,2022-02-11,3,2022-02-23,21.02
6,2022-02-23,3,2022-03-04,20.87
7,2022-03-04,3,2022-03-15,19.64
8,2022-03-15,3,2022-03-24,18.7
9,2022-03-24,3,2022-04-04,19.2
10,2022-04-04,3,2022-04-19,18.18
11,2022-04-19,3,2022-04-28,16.34
12,2022-04-28,3,2022-05-11,17.15
13,2022-05-11,3,2022-05-23,16.55
14,2022-05-23,3,2022-06-01,16.39
15,2022-06-01,3,2022-06-13,17.39
16,2022-06-13,3,2022-06-22,16.63
17,2022-06-22,3,2022-07-01,17.55
18,2022-07-01,3,2022-07-12,16.46
19,2022-07-12,3,2022-07-22,16.0
20,2022-07-22,3,2022-08-04,16.07
21,2022-08-04,3,2022-08-16,16.44
22,2022-08-16,3,2022-08-25,17.15
23,2022-08-25,3,2022-09-05,17.19
24,2022-09-05,3,2022-09-14,17.14
25,2022-09-14,3,2022-09-23,17.04
26,2022-09-23,3,2022-10-04,17.55
27,2022-10-04,3,2022-10-17,18.38
28,2022-10-17,3,2022-10-27,18.58
29,2022-10-27,3,2022-11-07,18.64
30,2022-11-07,3,2022-11-16,17.62
31,2022-11-16,3,2022-11-25,17.03
32,2022-11-25,3,2022-12-07,17.24
33,2022-12-07,3,2022-12-19,16.79
34,2022-12-19,3,2022-12-28,16.93
