Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,11.02
1,2022-01-04,14,2022-01-13,10.95
2,2022-01-13,14,2022-01-24,11.31
3,2022-01-24,14,2022-02-02,11.0
4,2022-02-02,14,2022-02-11,10.86
5,2022-02-11,14,2022-02-23,11.09
6,2022-02-23,14,2022-03-04,11.13
7,2022-03-04,14,2022-03-15,11.52
8,2022-03-15,14,2022-03-24,11.28
9,2022-03-24,14,2022-04-04,11.18
10,2022-04-04,14,2022-04-19,10.97
11,2022-04-19,14,2022-04-28,10.99
12,2022-04-28,14,2022-05-11,11.93
13,2022-05-11,14,2022-05-23,11.83
14,2022-05-23,14,2022-06-01,11.31
15,2022-06-01,14,2022-06-13,12.22
16,2022-06-13,14,2022-06-22,12.42
17,2022-06-22,14,2022-07-01,12.47
18,2022-07-01,14,2022-07-12,12.43
19,2022-07-12,14,2022-07-22,12.49
20,2022-07-22,14,2022-08-04,12.55
21,2022-08-04,14,2022-08-16,12.72
22,2022-08-16,14,2022-08-25,12.75
23,2022-08-25,14,2022-09-05,13.27
24,2022-09-05,14,2022-09-14,13.84
25,2022-09-14,14,2022-09-23,13.64
26,2022-09-23,14,2022-10-04,13.12
27,2022-10-04,14,2022-10-17,12.84
28,2022-10-17,14,2022-10-27,12.98
29,2022-10-27,14,2022-11-07,12.7
30,2022-11-07,14,2022-11-16,12.86
31,2022-11-16,14,2022-11-25,12.79
32,2022-11-25,14,2022-12-07,12.76
33,2022-12-07,14,2022-12-19,12.95
34,2022-12-19,14,2022-12-28,13.17
