Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,9.43
1,2022-01-04,14,2022-01-13,10.11
2,2022-01-13,14,2022-01-24,11.02
3,2022-01-24,14,2022-02-02,10.57
4,2022-02-02,14,2022-02-11,11.41
5,2022-02-11,14,2022-02-23,12.42
6,2022-02-23,14,2022-03-04,11.83
7,2022-03-04,14,2022-03-15,6.28
8,2022-03-15,14,2022-03-24,6.49
9,2022-03-24,14,2022-04-04,10.51
10,2022-04-04,14,2022-04-19,14.34
11,2022-04-19,14,2022-04-28,13.97
12,2022-04-28,14,2022-05-11,15.53
13,2022-05-11,14,2022-05-23,10.86
14,2022-05-23,14,2022-06-01,9.86
15,2022-06-01,14,2022-06-13,10.07
16,2022-06-13,14,2022-06-22,12.41
17,2022-06-22,14,2022-07-01,12.39
18,2022-07-01,14,2022-07-12,13.41
19,2022-07-12,14,2022-07-22,13.81
20,2022-07-22,14,2022-08-04,13.41
21,2022-08-04,14,2022-08-16,12.38
22,2022-08-16,14,2022-08-25,14.94
23,2022-08-25,14,2022-09-05,14.92
24,2022-09-05,14,2022-09-14,16.27
25,2022-09-14,14,2022-09-23,16.4
26,2022-09-23,14,2022-10-04,14.81
27,2022-10-04,14,2022-10-17,15.75
28,2022-10-17,14,2022-10-27,15.84
29,2022-10-27,14,2022-11-07,14.01
30,2022-11-07,14,2022-11-16,16.9
31,2022-11-16,14,2022-11-25,16.05
32,2022-11-25,14,2022-12-07,14.37
33,2022-12-07,14,2022-12-19,14.26
34,2022-12-19,14,2022-12-28,15.73
