Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,58.14
1,2022-01-04,7,2022-01-13,59.29
2,2022-01-13,7,2022-01-24,58.09
3,2022-01-24,7,2022-02-02,58.6
4,2022-02-02,7,2022-02-11,58.48
5,2022-02-11,7,2022-02-23,58.05
6,2022-02-23,7,2022-03-04,54.56
7,2022-03-04,7,2022-03-15,53.71
8,2022-03-15,7,2022-03-24,46.45
9,2022-03-24,7,2022-04-04,50.64
10,2022-04-04,7,2022-04-19,52.71
11,2022-04-19,7,2022-04-28,50.07
12,2022-04-28,7,2022-05-11,47.12
13,2022-05-11,7,2022-05-23,45.58
14,2022-05-23,7,2022-06-01,45.89
15,2022-06-01,7,2022-06-13,47.31
16,2022-06-13,7,2022-06-22,46.02
17,2022-06-22,7,2022-07-01,46.65
18,2022-07-01,7,2022-07-12,45.47
19,2022-07-12,7,2022-07-22,45.46
20,2022-07-22,7,2022-08-04,45.64
21,2022-08-04,7,2022-08-16,45.93
22,2022-08-16,7,2022-08-25,46.7
23,2022-08-25,7,2022-09-05,48.0
24,2022-09-05,7,2022-09-14,46.9
25,2022-09-14,7,2022-09-23,45.82
26,2022-09-23,7,2022-10-04,41.35
27,2022-10-04,7,2022-10-17,41.58
28,2022-10-17,7,2022-10-27,41.45
29,2022-10-27,7,2022-11-07,42.24
30,2022-11-07,7,2022-11-16,49.5
31,2022-11-16,7,2022-11-25,47.02
32,2022-11-25,7,2022-12-07,46.44
33,2022-12-07,7,2022-12-19,46.44
34,2022-12-19,7,2022-12-28,45.79
