Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,58.45
1,2022-01-04,7,2022-01-13,60.69
2,2022-01-13,7,2022-01-24,59.11
3,2022-01-24,7,2022-02-02,58.1
4,2022-02-02,7,2022-02-11,57.62
5,2022-02-11,7,2022-02-23,57.29
6,2022-02-23,7,2022-03-04,51.83
7,2022-03-04,7,2022-03-15,51.56
8,2022-03-15,7,2022-03-24,48.87
9,2022-03-24,7,2022-04-04,53.71
10,2022-04-04,7,2022-04-19,49.91
11,2022-04-19,7,2022-04-28,51.4
12,2022-04-28,7,2022-05-11,49.45
13,2022-05-11,7,2022-05-23,41.62
14,2022-05-23,7,2022-06-01,44.48
15,2022-06-01,7,2022-06-13,48.27
16,2022-06-13,7,2022-06-22,46.11
17,2022-06-22,7,2022-07-01,45.61
18,2022-07-01,7,2022-07-12,45.29
19,2022-07-12,7,2022-07-22,45.02
20,2022-07-22,7,2022-08-04,45.2
21,2022-08-04,7,2022-08-16,45.23
22,2022-08-16,7,2022-08-25,47.46
23,2022-08-25,7,2022-09-05,48.47
24,2022-09-05,7,2022-09-14,47.61
25,2022-09-14,7,2022-09-23,45.61
26,2022-09-23,7,2022-10-04,46.05
27,2022-10-04,7,2022-10-17,42.1
28,2022-10-17,7,2022-10-27,41.9
29,2022-10-27,7,2022-11-07,41.99
30,2022-11-07,7,2022-11-16,46.88
31,2022-11-16,7,2022-11-25,48.19
32,2022-11-25,7,2022-12-07,46.64
33,2022-12-07,7,2022-12-19,45.97
34,2022-12-19,7,2022-12-28,46.43
