Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,58.26
1,2022-01-04,15,2022-01-13,59.9
2,2022-01-13,15,2022-01-24,61.94
3,2022-01-24,15,2022-02-02,62.57
4,2022-02-02,15,2022-02-11,62.07
5,2022-02-11,15,2022-02-23,64.33
6,2022-02-23,15,2022-03-04,66.89
7,2022-03-04,15,2022-03-15,67.75
8,2022-03-15,15,2022-03-24,66.76
9,2022-03-24,15,2022-04-04,64.58
10,2022-04-04,15,2022-04-19,65.05
11,2022-04-19,15,2022-04-28,66.71
12,2022-04-28,15,2022-05-11,62.47
13,2022-05-11,15,2022-05-23,63.6
14,2022-05-23,15,2022-06-01,62.94
15,2022-06-01,15,2022-06-13,65.0
16,2022-06-13,15,2022-06-22,59.07
17,2022-06-22,15,2022-07-01,59.41
18,2022-07-01,15,2022-07-12,60.91
19,2022-07-12,15,2022-07-22,60.73
20,2022-07-22,15,2022-08-04,59.51
21,2022-08-04,15,2022-08-16,59.32
22,2022-08-16,15,2022-08-25,59.75
23,2022-08-25,15,2022-09-05,60.62
24,2022-09-05,15,2022-09-14,60.15
25,2022-09-14,15,2022-09-23,60.32
26,2022-09-23,15,2022-10-04,59.52
27,2022-10-04,15,2022-10-17,59.99
28,2022-10-17,15,2022-10-27,59.25
29,2022-10-27,15,2022-11-07,62.69
30,2022-11-07,15,2022-11-16,62.47
31,2022-11-16,15,2022-11-25,62.2
32,2022-11-25,15,2022-12-07,60.76
33,2022-12-07,15,2022-12-19,65.03
34,2022-12-19,15,2022-12-28,62.28
