param,mape,rmse,da
ARIMA_d10_p10_q2.csv,4436484651624519.0,3.1986609336001292e+16,68.57
ARIMA_d10_p10_q3.csv,10.62,18.72,48.57
ARIMA_d10_p4_q1.csv,51.42,99.0,54.29
ARIMA_d10_p4_q2.csv,30.82,61.16,57.14
ARIMA_d10_p6_q2.csv,23.21,43.6,57.14
ARIMA_d10_p6_q3.csv,26.11,54.02,62.86
ARIMA_d4_p10_q1.csv,3.79,6.99,54.29
ARIMA_d4_p10_q2.csv,3.72,6.91,48.57
ARIMA_d4_p10_q3.csv,3.42,6.35,54.29
ARIMA_d4_p4_q1.csv,3.9,7.4,57.14
ARIMA_d4_p4_q2.csv,3.2,5.97,57.14
ARIMA_d4_p4_q3.csv,3.42,6.37,48.57
ARIMA_d4_p6_q1.csv,3.79,7.18,45.71
ARIMA_d4_p6_q2.csv,3.3,6.2,54.29
ARIMA_d4_p6_q3.csv,3.84,7.02,51.43
ARIMA_d6_p10_q1.csv,455884539.69,3775868992.53,51.43
ARIMA_d6_p10_q2.csv,3.96,7.7,51.43
ARIMA_d6_p10_q3.csv,246900630.37,2161812027.09,51.43
ARIMA_d6_p4_q1.csv,8.69,16.69,54.29
ARIMA_d6_p4_q2.csv,5.78,10.94,48.57
ARIMA_d6_p4_q3.csv,4.15,7.77,48.57
ARIMA_d6_p6_q1.csv,6.63,11.87,51.43
ARIMA_d6_p6_q2.csv,4.53,8.89,51.43
ARIMA_d6_p6_q3.csv,4.9,9.57,54.29
