Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,17,2022-01-04,9.5
1,2022-01-04,17,2022-01-13,9.46
2,2022-01-13,17,2022-01-24,9.31
3,2022-01-24,17,2022-02-02,9.06
4,2022-02-02,17,2022-02-11,9.53
5,2022-02-11,17,2022-02-23,9.4
6,2022-02-23,17,2022-03-04,9.66
7,2022-03-04,17,2022-03-15,9.41
8,2022-03-15,17,2022-03-24,9.17
9,2022-03-24,17,2022-04-04,9.3
10,2022-04-04,17,2022-04-19,9.23
11,2022-04-19,17,2022-04-28,9.2
12,2022-04-28,17,2022-05-11,9.13
13,2022-05-11,17,2022-05-23,9.28
14,2022-05-23,17,2022-06-01,9.29
15,2022-06-01,17,2022-06-13,9.83
16,2022-06-13,17,2022-06-22,8.74
17,2022-06-22,17,2022-07-01,9.12
18,2022-07-01,17,2022-07-12,8.87
19,2022-07-12,17,2022-07-22,8.99
20,2022-07-22,17,2022-08-04,8.69
21,2022-08-04,17,2022-08-16,8.67
22,2022-08-16,17,2022-08-25,8.68
23,2022-08-25,17,2022-09-05,8.82
24,2022-09-05,17,2022-09-14,8.97
25,2022-09-14,17,2022-09-23,8.68
26,2022-09-23,17,2022-10-04,8.82
27,2022-10-04,17,2022-10-17,9.22
28,2022-10-17,17,2022-10-27,8.53
29,2022-10-27,17,2022-11-07,8.58
30,2022-11-07,17,2022-11-16,8.48
31,2022-11-16,17,2022-11-25,8.33
32,2022-11-25,17,2022-12-07,8.27
33,2022-12-07,17,2022-12-19,8.42
34,2022-12-19,17,2022-12-28,8.38
