Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,118.88
1,2022-01-04,13,2022-01-13,116.84
2,2022-01-13,13,2022-01-24,117.99
3,2022-01-24,13,2022-02-02,118.55
4,2022-02-02,13,2022-02-11,130.73
5,2022-02-11,13,2022-02-23,134.4
6,2022-02-23,13,2022-03-04,131.13
7,2022-03-04,13,2022-03-15,130.93
8,2022-03-15,13,2022-03-24,134.71
9,2022-03-24,13,2022-04-04,142.03
10,2022-04-04,13,2022-04-19,144.49
11,2022-04-19,13,2022-04-28,146.85
12,2022-04-28,13,2022-05-11,146.83
13,2022-05-11,13,2022-05-23,137.09
14,2022-05-23,13,2022-06-01,140.24
15,2022-06-01,13,2022-06-13,153.91
16,2022-06-13,13,2022-06-22,159.06
17,2022-06-22,13,2022-07-01,149.53
18,2022-07-01,13,2022-07-12,151.33
19,2022-07-12,13,2022-07-22,155.58
20,2022-07-22,13,2022-08-04,160.71
21,2022-08-04,13,2022-08-16,158.27
22,2022-08-16,13,2022-08-25,158.28
23,2022-08-25,13,2022-09-05,162.8
24,2022-09-05,13,2022-09-14,161.36
25,2022-09-14,13,2022-09-23,161.01
26,2022-09-23,13,2022-10-04,157.39
27,2022-10-04,13,2022-10-17,159.75
28,2022-10-17,13,2022-10-27,156.5
29,2022-10-27,13,2022-11-07,164.93
30,2022-11-07,13,2022-11-16,173.6
31,2022-11-16,13,2022-11-25,177.55
32,2022-11-25,13,2022-12-07,185.7
33,2022-12-07,13,2022-12-19,163.72
34,2022-12-19,13,2022-12-28,154.1
