Features,param,mape,rmse,da
Moving Average,window_size_10.csv,5.28,3.05,57.14
ARIMA,ARIMA_d4_p6_q3.csv,4.01,2.42,42.86
Fundamental,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.92,2.6,65.71
Fundamental+LDA News,XGBModel_lags10_lags_past_covariates1_output_chunk_length1.csv,4.72,2.59,51.43
Fundamental+LDA Twitter,XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.78,2.44,57.14
Fundamental+GDELT V1,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,4.29,2.44,60.0
Fundamental+GDELT V2,XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,4.38,2.48,51.43
Fundamental+LDA News+LDA Twitter,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.83,2.78,54.29
Fundamental+LDA News+GDELT V1,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,4.87,2.77,57.14
Fundamental+LDA News+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.66,2.78,57.14
Fundamental+LDA Twitter+GDELT V1,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.98,2.32,57.14
Fundamental+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.44,2.54,48.57
Fundamental+GDELT V1+GDELT V2,XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,4.31,2.49,60.0
Fundamental+LDA News+LDA Twitter+GDELT V1,XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,4.81,2.74,57.14
Fundamental+LDA News+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.58,2.76,60.0
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,4.66,2.72,57.14
Fundamental+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,4.2,2.37,51.43
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.78,2.76,57.14
