Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,140.31
1,2022-01-04,16,2022-01-13,139.47
2,2022-01-13,16,2022-01-24,143.07
3,2022-01-24,16,2022-02-02,144.8
4,2022-02-02,16,2022-02-11,140.77
5,2022-02-11,16,2022-02-23,143.71
6,2022-02-23,16,2022-03-04,146.7
7,2022-03-04,16,2022-03-15,153.31
8,2022-03-15,16,2022-03-24,165.1
9,2022-03-24,16,2022-04-04,157.74
10,2022-04-04,16,2022-04-19,154.33
11,2022-04-19,16,2022-04-28,160.62
12,2022-04-28,16,2022-05-11,170.06
13,2022-05-11,16,2022-05-23,160.86
14,2022-05-23,16,2022-06-01,177.29
15,2022-06-01,16,2022-06-13,167.29
16,2022-06-13,16,2022-06-22,171.68
17,2022-06-22,16,2022-07-01,161.04
18,2022-07-01,16,2022-07-12,188.73
19,2022-07-12,16,2022-07-22,185.58
20,2022-07-22,16,2022-08-04,181.5
21,2022-08-04,16,2022-08-16,184.92
22,2022-08-16,16,2022-08-25,188.18
23,2022-08-25,16,2022-09-05,200.23
24,2022-09-05,16,2022-09-14,205.37
25,2022-09-14,16,2022-09-23,206.34
26,2022-09-23,16,2022-10-04,208.53
27,2022-10-04,16,2022-10-17,221.95
28,2022-10-17,16,2022-10-27,223.95
29,2022-10-27,16,2022-11-07,230.66
30,2022-11-07,16,2022-11-16,226.13
31,2022-11-16,16,2022-11-25,227.02
32,2022-11-25,16,2022-12-07,221.06
33,2022-12-07,16,2022-12-19,217.24
34,2022-12-19,16,2022-12-28,217.41
