Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,3,2022-01-04,19.6
1,2022-01-04,3,2022-01-13,19.69
2,2022-01-13,3,2022-01-24,19.6
3,2022-01-24,3,2022-02-02,20.22
4,2022-02-02,3,2022-02-11,20.3
5,2022-02-11,3,2022-02-23,20.27
6,2022-02-23,3,2022-03-04,20.41
7,2022-03-04,3,2022-03-15,20.32
8,2022-03-15,3,2022-03-24,19.58
9,2022-03-24,3,2022-04-04,19.13
10,2022-04-04,3,2022-04-19,18.52
11,2022-04-19,3,2022-04-28,17.08
12,2022-04-28,3,2022-05-11,16.87
13,2022-05-11,3,2022-05-23,17.0
14,2022-05-23,3,2022-06-01,16.73
15,2022-06-01,3,2022-06-13,17.23
16,2022-06-13,3,2022-06-22,17.09
17,2022-06-22,3,2022-07-01,17.29
18,2022-07-01,3,2022-07-12,17.12
19,2022-07-12,3,2022-07-22,16.2
20,2022-07-22,3,2022-08-04,16.01
21,2022-08-04,3,2022-08-16,16.81
22,2022-08-16,3,2022-08-25,17.01
23,2022-08-25,3,2022-09-05,17.21
24,2022-09-05,3,2022-09-14,17.24
25,2022-09-14,3,2022-09-23,16.97
26,2022-09-23,3,2022-10-04,17.2
27,2022-10-04,3,2022-10-17,17.56
28,2022-10-17,3,2022-10-27,18.06
29,2022-10-27,3,2022-11-07,18.36
30,2022-11-07,3,2022-11-16,17.86
31,2022-11-16,3,2022-11-25,16.98
32,2022-11-25,3,2022-12-07,17.3
33,2022-12-07,3,2022-12-19,17.0
34,2022-12-19,3,2022-12-28,17.25
