Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,3,2022-01-04,19.97
1,2022-01-04,3,2022-01-13,20.05
2,2022-01-13,3,2022-01-24,20.3
3,2022-01-24,3,2022-02-02,20.42
4,2022-02-02,3,2022-02-11,20.24
5,2022-02-11,3,2022-02-23,20.39
6,2022-02-23,3,2022-03-04,20.7
7,2022-03-04,3,2022-03-15,20.27
8,2022-03-15,3,2022-03-24,19.29
9,2022-03-24,3,2022-04-04,18.91
10,2022-04-04,3,2022-04-19,18.29
11,2022-04-19,3,2022-04-28,16.98
12,2022-04-28,3,2022-05-11,16.9
13,2022-05-11,3,2022-05-23,16.68
14,2022-05-23,3,2022-06-01,16.52
15,2022-06-01,3,2022-06-13,17.1
16,2022-06-13,3,2022-06-22,16.97
17,2022-06-22,3,2022-07-01,17.03
18,2022-07-01,3,2022-07-12,16.92
19,2022-07-12,3,2022-07-22,15.43
20,2022-07-22,3,2022-08-04,15.58
21,2022-08-04,3,2022-08-16,16.58
22,2022-08-16,3,2022-08-25,17.1
23,2022-08-25,3,2022-09-05,17.27
24,2022-09-05,3,2022-09-14,17.2
25,2022-09-14,3,2022-09-23,17.05
26,2022-09-23,3,2022-10-04,16.97
27,2022-10-04,3,2022-10-17,17.77
28,2022-10-17,3,2022-10-27,18.36
29,2022-10-27,3,2022-11-07,18.54
30,2022-11-07,3,2022-11-16,17.79
31,2022-11-16,3,2022-11-25,16.95
32,2022-11-25,3,2022-12-07,17.04
33,2022-12-07,3,2022-12-19,16.91
34,2022-12-19,3,2022-12-28,16.97
