param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,8.92,11.88,57.14,40.0,34.29,25.71,25.71
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,8.33,11.74,54.29,37.14,31.43,25.71,25.71
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,10.49,13.98,65.71,42.86,37.14,34.29,34.29
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,10.15,13.18,62.86,40.0,34.29,31.43,31.43
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,13.89,18.8,48.57,34.29,25.71,25.71,25.71
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,13.6,16.94,60.0,31.43,31.43,34.29,31.43
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,6.24,9.87,57.14,20.0,20.0,40.0,40.0
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,5.34,8.77,62.86,25.71,22.86,42.86,42.86
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,5.96,9.86,60.0,31.43,28.57,34.29,34.29
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,6.23,9.93,60.0,20.0,20.0,42.86,42.86
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,5.41,8.72,60.0,25.71,25.71,37.14,37.14
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,6.21,10.4,68.57,25.71,25.71,45.71,45.71
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,6.27,9.89,57.14,20.0,20.0,40.0,40.0
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,5.67,9.2,60.0,25.71,22.86,40.0,40.0
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,6.23,10.41,68.57,25.71,25.71,45.71,45.71
