Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,11,2022-01-04,9.22
1,2022-01-04,11,2022-01-13,9.19
2,2022-01-13,11,2022-01-24,9.8
3,2022-01-24,11,2022-02-02,9.16
4,2022-02-02,11,2022-02-11,9.17
5,2022-02-11,11,2022-02-23,9.12
6,2022-02-23,11,2022-03-04,9.15
7,2022-03-04,11,2022-03-15,9.15
8,2022-03-15,11,2022-03-24,9.7
9,2022-03-24,11,2022-04-04,10.1
10,2022-04-04,11,2022-04-19,9.12
11,2022-04-19,11,2022-04-28,9.13
12,2022-04-28,11,2022-05-11,9.13
13,2022-05-11,11,2022-05-23,9.13
14,2022-05-23,11,2022-06-01,9.12
15,2022-06-01,11,2022-06-13,9.4
16,2022-06-13,11,2022-06-22,9.38
17,2022-06-22,11,2022-07-01,9.37
18,2022-07-01,11,2022-07-12,9.35
19,2022-07-12,11,2022-07-22,9.09
20,2022-07-22,11,2022-08-04,9.54
21,2022-08-04,11,2022-08-16,9.47
22,2022-08-16,11,2022-08-25,9.08
23,2022-08-25,11,2022-09-05,9.1
24,2022-09-05,11,2022-09-14,9.03
25,2022-09-14,11,2022-09-23,9.11
26,2022-09-23,11,2022-10-04,9.09
27,2022-10-04,11,2022-10-17,9.29
28,2022-10-17,11,2022-10-27,9.02
29,2022-10-27,11,2022-11-07,9.09
30,2022-11-07,11,2022-11-16,10.14
31,2022-11-16,11,2022-11-25,10.5
32,2022-11-25,11,2022-12-07,9.24
33,2022-12-07,11,2022-12-19,9.25
34,2022-12-19,11,2022-12-28,9.06
