Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,10,2022-01-04,3.34
1,2022-01-04,10,2022-01-13,3.29
2,2022-01-13,10,2022-01-24,2.93
3,2022-01-24,10,2022-02-02,3.37
4,2022-02-02,10,2022-02-11,3.43
5,2022-02-11,10,2022-02-23,3.29
6,2022-02-23,10,2022-03-04,3.4
7,2022-03-04,10,2022-03-15,3.28
8,2022-03-15,10,2022-03-24,3.29
9,2022-03-24,10,2022-04-04,3.33
10,2022-04-04,10,2022-04-19,3.4
11,2022-04-19,10,2022-04-28,3.43
12,2022-04-28,10,2022-05-11,3.33
13,2022-05-11,10,2022-05-23,2.86
14,2022-05-23,10,2022-06-01,3.11
15,2022-06-01,10,2022-06-13,3.25
16,2022-06-13,10,2022-06-22,3.17
17,2022-06-22,10,2022-07-01,3.08
18,2022-07-01,10,2022-07-12,3.21
19,2022-07-12,10,2022-07-22,2.87
20,2022-07-22,10,2022-08-04,2.89
21,2022-08-04,10,2022-08-16,3.1
22,2022-08-16,10,2022-08-25,3.16
23,2022-08-25,10,2022-09-05,3.39
24,2022-09-05,10,2022-09-14,3.46
25,2022-09-14,10,2022-09-23,3.42
26,2022-09-23,10,2022-10-04,3.46
27,2022-10-04,10,2022-10-17,3.48
28,2022-10-17,10,2022-10-27,3.45
29,2022-10-27,10,2022-11-07,3.55
30,2022-11-07,10,2022-11-16,4.08
31,2022-11-16,10,2022-11-25,3.41
32,2022-11-25,10,2022-12-07,3.52
33,2022-12-07,10,2022-12-19,3.91
34,2022-12-19,10,2022-12-28,3.94
