Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_5.csv,4.55,0.97,51.43,25.71,25.71,25.71,25.71
ARIMA,ARIMA_d6_p10_q3.csv,3.42,0.83,60.0,34.29,28.57,31.43,31.43
Fundamental,XGBModel_lags1_lags_past_covariates10_output_chunk_length1.csv,2.81,0.72,62.86,22.86,22.86,40.0,40.0
Fundamental+LDA News,XGBModel_lags10_lags_past_covariates1_output_chunk_length1.csv,2.88,0.73,65.71,34.29,34.29,31.43,31.43
Fundamental+LDA Twitter,XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,3.22,0.75,57.14,20.0,20.0,37.14,37.14
Fundamental+GDELT V1,XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,2.88,0.72,68.57,25.71,25.71,42.86,42.86
Fundamental+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.18,0.77,54.29,25.71,25.71,28.57,28.57
Fundamental+LDA News+LDA Twitter,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.62,0.65,62.86,22.86,22.86,40.0,40.0
Fundamental+LDA News+GDELT V1,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.69,0.66,65.71,25.71,25.71,40.0,40.0
Fundamental+LDA News+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.8,0.73,57.14,25.71,25.71,31.43,31.43
Fundamental+LDA Twitter+GDELT V1,XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.34,0.75,51.43,22.86,22.86,28.57,28.57
Fundamental+LDA Twitter+GDELT V2,XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,2.91,0.7,60.0,22.86,22.86,37.14,37.14
Fundamental+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.42,0.82,48.57,20.0,20.0,28.57,28.57
Fundamental+LDA News+LDA Twitter+GDELT V1,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.71,0.67,68.57,28.57,28.57,40.0,40.0
Fundamental+LDA News+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.83,0.73,57.14,25.71,25.71,31.43,31.43
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.64,0.67,65.71,25.71,25.71,40.0,40.0
Fundamental+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.23,0.75,57.14,31.43,31.43,25.71,25.71
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.68,0.67,62.86,25.71,25.71,37.14,37.14
