Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,136.33
1,2022-01-04,16,2022-01-13,138.49
2,2022-01-13,16,2022-01-24,137.09
3,2022-01-24,16,2022-02-02,143.5
4,2022-02-02,16,2022-02-11,138.18
5,2022-02-11,16,2022-02-23,143.88
6,2022-02-23,16,2022-03-04,143.4
7,2022-03-04,16,2022-03-15,158.04
8,2022-03-15,16,2022-03-24,167.37
9,2022-03-24,16,2022-04-04,153.76
10,2022-04-04,16,2022-04-19,152.63
11,2022-04-19,16,2022-04-28,162.61
12,2022-04-28,16,2022-05-11,159.75
13,2022-05-11,16,2022-05-23,154.26
14,2022-05-23,16,2022-06-01,165.47
15,2022-06-01,16,2022-06-13,170.99
16,2022-06-13,16,2022-06-22,165.74
17,2022-06-22,16,2022-07-01,174.33
18,2022-07-01,16,2022-07-12,184.85
19,2022-07-12,16,2022-07-22,188.46
20,2022-07-22,16,2022-08-04,181.8
21,2022-08-04,16,2022-08-16,183.48
22,2022-08-16,16,2022-08-25,186.73
23,2022-08-25,16,2022-09-05,200.24
24,2022-09-05,16,2022-09-14,194.57
25,2022-09-14,16,2022-09-23,212.53
26,2022-09-23,16,2022-10-04,215.2
27,2022-10-04,16,2022-10-17,228.87
28,2022-10-17,16,2022-10-27,231.73
29,2022-10-27,16,2022-11-07,227.99
30,2022-11-07,16,2022-11-16,218.84
31,2022-11-16,16,2022-11-25,226.24
32,2022-11-25,16,2022-12-07,223.9
33,2022-12-07,16,2022-12-19,220.07
34,2022-12-19,16,2022-12-28,214.69
