Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,17,2022-01-04,8.63
1,2022-01-04,17,2022-01-13,9.87
2,2022-01-13,17,2022-01-24,9.23
3,2022-01-24,17,2022-02-02,9.0
4,2022-02-02,17,2022-02-11,9.22
5,2022-02-11,17,2022-02-23,9.36
6,2022-02-23,17,2022-03-04,9.37
7,2022-03-04,17,2022-03-15,10.57
8,2022-03-15,17,2022-03-24,8.77
9,2022-03-24,17,2022-04-04,9.36
10,2022-04-04,17,2022-04-19,9.26
11,2022-04-19,17,2022-04-28,9.66
12,2022-04-28,17,2022-05-11,9.83
13,2022-05-11,17,2022-05-23,8.84
14,2022-05-23,17,2022-06-01,8.38
15,2022-06-01,17,2022-06-13,9.79
16,2022-06-13,17,2022-06-22,8.73
17,2022-06-22,17,2022-07-01,8.34
18,2022-07-01,17,2022-07-12,9.33
19,2022-07-12,17,2022-07-22,8.81
20,2022-07-22,17,2022-08-04,8.79
21,2022-08-04,17,2022-08-16,9.47
22,2022-08-16,17,2022-08-25,9.36
23,2022-08-25,17,2022-09-05,8.33
24,2022-09-05,17,2022-09-14,9.25
25,2022-09-14,17,2022-09-23,9.51
26,2022-09-23,17,2022-10-04,9.25
27,2022-10-04,17,2022-10-17,7.84
28,2022-10-17,17,2022-10-27,8.5
29,2022-10-27,17,2022-11-07,9.49
30,2022-11-07,17,2022-11-16,8.38
31,2022-11-16,17,2022-11-25,8.76
32,2022-11-25,17,2022-12-07,7.87
33,2022-12-07,17,2022-12-19,8.47
34,2022-12-19,17,2022-12-28,8.38
